Project ID,Sample ID,Site,Age,DNA tested,Sex,Adult (Y/N/unknown),Y-chr Haplogroup,mtDNA Haplogroup,Confirmed Kin,Sample ID for kin,Notes,Site Group
Knobbs_55,F.952,Knobbs 2,Unknown,N,n.a.,unknown,,,No,,no bone found - grave only,Knobbs
Knobbs_56,F.962,Knobbs 3,Unknown,N,n.a.,unknown,,,No,,no bone found - grave only,Knobbs
NW_Cambridge_1,76,Northwest Cambridge Site IV RB.2C,Adult,N,M?,Y,,,No,,,Northwest Cambridge
NW_Cambridge_2,500,Northwest Cambridge Site IV RB.2C,Adult,N,Unknown,Y,,,No,,,Northwest Cambridge
NW_Cambridge_3,NWC002,Northwest Cambridge Site IV RB.2C,Adult,Y,Unknown,Y,,too low coverage,No,,,Northwest Cambridge
NW_Cambridge_4,510,Northwest Cambridge Site IV RB.2C,Adult,N,F,Y,,,No,,,Northwest Cambridge
NW_Cambridge_5,579,Northwest Cambridge Site IV RB.2C,Adult,N,Unknown,Y,,,No,,No bone - 2 teeth only,Northwest Cambridge
NW_Cambridge_6,NWC003,Northwest Cambridge Site IV RB.2C,Adult,Y,M,Y,R1b-M269,U5a2c,No,,,Northwest Cambridge
NW_Cambridge_7,NWC004,Northwest Cambridge Site IV RB.2C,Adult,Y,M,Y,I--,K1a4a1e,No,,,Northwest Cambridge
NW_Cambridge_8,NWC005,Northwest Cambridge Site IV RB.2C,Adult,Y,F,Y,,W3a1a,No,,,Northwest Cambridge
NW_Cambridge_9,658,Northwest Cambridge Site IV RB.2C,Adult,N,Unknown,Y,,,No,,No bone - age from grave size ony,Northwest Cambridge
NW_Cambridge_10,NWC006,Northwest Cambridge Site IV RB.2C,Adult,Y,F,Y,,U5a2a1,No,,,Northwest Cambridge
NW_Cambridge_11,NWC007,Northwest Cambridge Site IV RB.2C,Adult,Y,F,Y,,K1a4a1b,No,,,Northwest Cambridge
NW_Cambridge_12,NWC009,Northwest Cambridge Site IV RB.2C,Adult,Y,M,Y,R1b-P310,U4a,No,,,Northwest Cambridge
NW_Cambridge_13,856,Northwest Cambridge Site IV RB.2C,Adult,N,M?,Y,,,No,,,Northwest Cambridge
NW_Cambridge_14,NWC010,Northwest Cambridge Site IV RB.2C,Adult,Y,M,Y,I1-M253,J1c1c,No,,,Northwest Cambridge
Vicars_1,VIC001,Vicar's Farm,Adult,Y,F,Y,,H11a,No,,,Vicar's Farm
Vicars_2,VIC002,Vicar's Farm,Adult,Y,F,Y,,H2a2a,No,,,Vicar's Farm
Vicars_3,VIC003,Vicar's Farm,Adult,Y,M,Y,R1-M173,H26a1,No,,,Vicar's Farm
Vicars_4,2010,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_5,VIC004,Vicar's Farm,Adult,Y,M,Y,R1b11-CTS9219,H4a1,No,,,Vicar's Farm
Vicars_6,2016,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_7,2019,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_8,VIC005,Vicar's Farm,Adult,Y,F,Y,,U5a1h,No,,,Vicar's Farm
Vicars_9,2025,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_10,VIC006,Vicar's Farm,Adult,Y,M,Y,R1b-M269,H1bs,No,,,Vicar's Farm
Vicars_11,2031,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_12,VIC007,Vicar's Farm,Adult,Y,F,Y,,H3a1,No,,,Vicar's Farm
Vicars_13,VIC008,Vicar's Farm,Adult,Y,F,Y,,U5a1b1,No,,,Vicar's Farm
Vicars_14,VIC009,Vicar's Farm,Adult,Y,F,Y,,H18,No,,,Vicar's Farm
Vicars_15,2042,Vicar's Farm,Non-Adult,N,Unknown,N,,,No,,,Vicar's Farm
Vicars_16,2044,Vicar's Farm,Non-Adult,N,Unknown,N,,,No,,,Vicar's Farm
Vicars_17,2046,Vicar's Farm,Adult,N,F,Y,,,No,,,Vicar's Farm
Vicars_18,VIC010,Vicar's Farm,Adult,Y,F,Y,,H2a3,No,,,Vicar's Farm
Vicars_19,2052,Vicar's Farm,Adult,N,F,Y,,,No,,,Vicar's Farm
Vicars_20,VIC012,Vicar's Farm,Adult,Y,F,Y,,U5a2a1,No,,,Vicar's Farm
Vicars_21,VIC013,Vicar's Farm,Adult,Y,Unknown,Y,,too low coverage,No,,,Vicar's Farm
Vicars_22,VIC014,Vicar's Farm,Non-Adult,Y,Unknown,N,,too low coverage,No,,,Vicar's Farm
Vicars_23,2064,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_24,VIC015,Vicar's Farm,Non-Adult,Y,Unknown,N,,too low coverage,No,,,Vicar's Farm
Vicars_25,2073,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_26,VIC016,Vicar's Farm,Adult,Y,M,Y,R1b-Z290,H1bs,No,,,Vicar's Farm
Vicars_27,2079,Vicar's Farm,Adult,N,Unknown,Y,,,No,,,Vicar's Farm
Vicars_28,VIC017,Vicar's Farm,Adult,Y,F,Y,,H3b1b1,No,,,Vicar's Farm
Vicars_29,VIC018,Vicar's Farm,Adult,Y,F,Y,,H2a3,No,,,Vicar's Farm
Fenstanton-1,FEN001,Fenstanton - Dairy Crest,Unknown,Y,F,unknown,,H3ap,No,,,Fenstanton
Fenstanton-2,FEN002,Fenstanton - Dairy Crest,Unknown,Y,F,unknown,,H2a2a,No,,,Fenstanton
Fenstanton-3,FEN003,Fenstanton - Dairy Crest,Unknown,Y,M,unknown,R1b3-CTS9993,H7a1,No,,,Fenstanton
Fenstanton-4,FEN004,Fenstanton - Dairy Crest,Unknown,Y,Unknown,unknown,,too low coverage,No,,,Fenstanton
Fenstanton-5,FEN005,Fenstanton - Dairy Crest,Unknown,Y,F,unknown,,U4a,No,,,Fenstanton
Fenstanton-6,FEN006,Fenstanton - Dairy Crest,Unknown,Y,Unknown,unknown,,too low coverage,No,,,Fenstanton
Fenstanton-7,FEN007,Fenstanton - Dairy Crest,Unknown,Y,M,unknown,R-M207,U5b1+16189+@16192,No,,,Fenstanton
Fenstanton-8,FEN008,Fenstanton - Dairy Crest,Unknown,Y,M,unknown,R1b-P312,H11a,No,,,Fenstanton
Fenstanton-9,FEN009,Fenstanton - Dairy Crest,Unknown,Y,M,unknown,R1b-M269,W1+119,No,,,Fenstanton
Fenstanton-10,FEN010,Fenstanton - Dairy Crest,Unknown,Y,F,unknown,,T2b4f,No,,,Fenstanton
Fenstanton-11,FEN011,Fenstanton - Dairy Crest,Unknown,Y,M,unknown,R1b-M269,H1q,No,,,Fenstanton
Fenstanton-12,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-13,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-14,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-15,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-16,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-17,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-18,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-19,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-20,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-21,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-22,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-23,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-24,no data,Fenstanton - Dairy Crest,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-25,FEN012,Fenstanton - Cambridge Road,Unknown,Y,M,unknown,R1b5-DF19,J1c1b,No,,,Fenstanton
Fenstanton-26,FEN013,Fenstanton - Cambridge Road,Unknown,Y,M,unknown,R1b-M269,H1,No,,,Fenstanton
Fenstanton-27,FEN014,Fenstanton - Cambridge Road,Unknown,Y,F,unknown,,H1,No,,,Fenstanton
Fenstanton-28,FEN015,Fenstanton - Cambridge Road,Unknown,Y,Unknown,unknown,,too low coverage,No,,,Fenstanton
Fenstanton-29,FEN017,Fenstanton - Cambridge Road,Unknown,Y,Unknown,unknown,,too low coverage,No,,,Fenstanton
Fenstanton-30,FEN018,Fenstanton - Cambridge Road,Adult,Y,F,Y,,K1b1a1,No,,,Fenstanton
Fenstanton-31,FEN019,Fenstanton - Cambridge Road,Adult,Y,F,Y,,U5a2b1a,No,,,Fenstanton
Fenstanton-32,FEN020,Fenstanton - Cambridge Road,Unknown,Y,Unknown,unknown,,too low coverage,No,,,Fenstanton
Fenstanton-33,FEN021,Fenstanton - Cambridge Road,Unknown,Y,Unknown,unknown,,too low coverage,No,,,Fenstanton
Fenstanton-34,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-35,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-36,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-37,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-38,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-39,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-40,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-41,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-42,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-43,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-44,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-45,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-46,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-47,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Fenstanton-48,no data,Fenstanton - Cambridge Road,Unknown,N,no data,unknown,,,No,,,Fenstanton
Arbury-1,ARB002,Arbury,Unknown,Y,M,unknown,R1b-M269,H17a,No,,,Arbury
Arbury-2,ARB005,Arbury,Unknown,Y,M,unknown,,too low coverage,No,,,Arbury
Arbury-3,ARB004,Arbury,Adult,Y,F,Y,,U4b1b2,No,,,Arbury
Arbury-4,ARB012,Arbury,Unknown,Y,F,unknown,,V+@72,No,,,Arbury
Arbury-5,ARB003,Arbury,Unknown,Y,M,unknown,R1b-P310,H59a,No,,,Arbury
Arbury-6,EU 1.3.180,Arbury,Adult,Y,M,Y,untested,untested,No,,,Arbury
Duxford-1,DUX001,Duxford,Unknown,Y,M,unknown,I2d-Y3723,H1z,No,,,Duxford
Duxford-2,DUX002,Duxford,Unknown,Y,F,unknown,,H3ap,No,,,Duxford
